|DocCount|IDF
heart|5|8.134350261344352
ecj|1|9.743788173778453
limit|30|6.342590792116297
gazproms|3|8.645175885110344
use|11|7.345892900980083
crucial|10|7.441203080784407
adviser|8|7.664346632098617
bolton|1|9.743788173778453
cairn|16|6.971199451538672
tilting|1|9.743788173778453
windmill|1|9.743788173778453
happen|5|8.134350261344352
very|14|7.1047308441631944
soon|44|5.959598539860192
guidance|9|7.546563596442233
improvement|2|9.050640993218508
kraken|7|7.79787802472314
local|8|7.664346632098617
bourse|3|8.645175885110344
boost|173|4.590496579280674
index|10|7.441203080784407
upgrade|6|7.952028704550398
offs|5|8.134350261344352
kuwait|30|6.342590792116297
mega|11|7.345892900980083
domestic|22|6.652745720420137
action|31|6.309800969293307
match|1|9.743788173778453
best|43|5.9825880580848905
intention|2|9.050640993218508
minister|86|5.289440877524945
fell|6|7.952028704550398
grace|2|9.050640993218508
signal|39|6.080226527648807
number|26|6.485691635756971
dumping|2|9.050640993218508
nudge|6|7.952028704550398
higher|426|3.689348827509083
replaced|1|9.743788173778453
ny|3|8.645175885110344
tussle|1|9.743788173778453
unease|2|9.050640993218508
final|5|8.134350261344352
norwegian|18|6.853416415882289
enters|10|7.441203080784407
exclusive|7|7.79787802472314
redburn|1|9.743788173778453
longer|19|6.799349194612013
peak|168|4.6198241943751945
loom|55|5.736454988545982
announces|14|7.1047308441631944
buyback|7|7.79787802472314
4|136|4.831133288042401
strong|102|5.118815360494182
data|547|3.4393393713564717
free|16|6.971199451538672
7|51|5.811962541054127
crew|1|9.743788173778453
member|20|6.748055900224462
flagged|1|9.743788173778453
tie|18|6.853416415882289
defence|2|9.050640993218508
weakened|3|8.645175885110344
must|28|6.411583663603249
answer|7|7.79787802472314
audience|1|9.743788173778453
one|60|5.649443611556352
reshuffle|4|8.357493812658563
show|78|5.387079347088862
wealth|20|6.748055900224462
twin|2|9.050640993218508
track|29|6.376492343791979
iraq|110|5.043307807986037
veteran|9|7.546563596442233
gary|2|9.050640993218508
ross|1|9.743788173778453
lid|5|8.134350261344352
art|4|8.357493812658563
forecast|145|4.767054431357879
replaces|5|8.134350261344352
chairman|15|7.035737972676243
mb|4|8.357493812658563
amur|1|9.743788173778453
ministry|4|8.357493812658563
well|50|5.831765168350307
miss|20|6.748055900224462
ppi|1|9.743788173778453
qe|2|9.050640993218508
mass|3|8.645175885110344
increased|18|6.853416415882289
reverse|12|7.2588815239904525
methane|7|7.79787802472314
dollar900m|2|9.050640993218508
ugandan|1|9.743788173778453
cnooc|9|7.546563596442233
allow|3|8.645175885110344
resume|36|6.160269235322343
greenland|2|9.050640993218508
tied|3|8.645175885110344
mineral|2|9.050640993218508
bounty|1|9.743788173778453
petrofac|7|7.79787802472314
beta|1|9.743788173778453
team|4|8.357493812658563
are|233|4.292749720212752
experiencing|1|9.743788173778453
tremor|9|7.546563596442233
